presion,temperatura,humedad,PM25,PM10,CO,CH4,CO2,O3
753,22.95,38,3.4,3.4,144.7,35.9,315.0,8.3
753,22.98,40,5.4,5.4,143.7,35.0,321.0,8.3
753,22.58,41,2.9,2.9,151.2,34.2,318.0,8.5
753,22.56,41,2.3,2.4,141.8,35.1,345.0,8.2
754,22.29,43,3.0,3.0,154.9,32.9,312.0,8.5
754,22.11,43,5.4,5.4,159.3,32.4,326.0,8.5
754,21.48,43,11.7,11.8,165.4,31.0,327.0,8.8
754,20.42,47,2.0,2.0,152.6,32.6,318.0,8.2
754,19.95,48,4.0,4.0,164.6,31.3,318.0,8.6
754,19.29,50,1.7,1.7,172.1,30.5,327.0,8.9
754,18.38,52,3.0,3.0,164.2,31.1,320.0,8.5
755,18.31,53,5.0,5.0,174.0,30.5,330.0,8.8
755,18.19,52,3.1,3.1,160.0,32.1,325.0,8.4
755,18.23,50,13.0,13.1,152.5,33.5,322.0,8.2
755,18.55,49,9.9,9.9,189.2,30.3,336.0,9.4
755,18.15,50,8.2,8.2,154.8,32.9,335.0,8.6
755,17.80,50,6.1,6.2,164.4,33.2,336.0,8.9
755,17.75,49,2.4,2.4,146.1,36.1,315.0,8.2
755,17.51,50,3.8,3.8,185.8,32.1,327.0,9.4
755,17.46,50,2.6,2.6,144.9,36.9,336.0,8.2
755,16.96,51,2.8,2.8,145.6,36.6,328.0,8.1
756,16.96,51,4.5,4.5,160.2,34.5,329.0,8.6
756,16.58,52,5.3,5.3,149.0,35.4,327.0,8.2
756,16.63,52,2.7,2.7,150.4,35.9,326.0,8.2
756,16.00,53,10.4,10.5,134.5,37.7,309.0,7.6
756,16.36,52,3.6,3.6,144.3,35.9,320.0,8.0
756,16.32,52,2.3,2.3,139.6,36.9,306.0,7.9
756,16.13,52,1.2,1.2,134.4,38.1,313.0,7.7
756,16.23,51,1.3,1.3,128.9,39.2,305.0,7.6
756,15.87,52,1.9,1.9,129.8,38.2,293.0,7.6
756,15.86,52,0.4,0.4,137.7,37.2,314.0,7.8
756,15.77,53,3.9,3.9,133.3,37.8,312.0,7.7
756,15.77,52,0.6,0.6,130.0,37.3,316.0,7.6
756,15.52,55,1.6,1.6,129.6,37.1,315.0,7.6
756,15.26,55,1.0,1.1,135.9,36.4,313.0,7.8
756,14.76,57,1.5,1.6,131.2,36.6,315.0,7.6
756,14.89,57,1.5,1.5,176.4,29.7,321.0,9.1
755,14.99,57,1.7,1.7,140.7,35.1,316.0,7.9
755,14.78,58,2.0,2.0,130.3,37.1,305.0,7.6
755,14.87,57,3.8,3.8,135.7,37.2,307.0,7.8
755,14.64,57,1.5,1.5,129.2,37.1,312.0,7.6
755,14.17,59,0.7,0.7,130.1,36.8,307.0,7.6
755,14.57,57,0.9,0.9,134.8,37.1,308.0,7.7
755,14.42,57,1.6,1.6,155.0,34.2,309.0,8.3
755,14.46,57,1.6,1.7,123.7,39.1,299.0,7.4
755,14.35,58,1.5,1.5,125.6,38.1,300.0,7.4
755,14.05,59,0.8,0.8,125.7,37.8,298.0,7.4
755,14.41,58,1.2,1.2,124.1,38.0,296.0,7.4
754,14.43,58,0.5,0.5,127.8,37.0,296.0,7.5
754,14.83,57,1.2,1.2,125.3,38.8,300.0,7.5
754,15.04,57,0.8,0.8,125.2,37.6,292.0,7.5
755,14.98,56,1.0,1.1,124.7,38.0,290.0,7.4
755,15.03,56,0.9,0.9,124.3,38.0,299.0,7.5
755,15.00,57,1.7,1.7,125.5,38.6,299.0,7.5
755,15.00,57,1.3,1.3,126.6,38.1,304.0,7.5
755,15.13,56,1.3,1.3,129.1,37.9,308.0,7.7
755,15.21,55,5.8,5.9,132.1,38.2,305.0,7.8
755,15.31,56,5.2,5.2,131.7,37.8,305.0,7.7
755,15.40,55,4.8,4.9,132.4,37.8,315.0,7.7
755,15.51,55,6.2,6.2,133.4,37.4,319.0,7.8
755,15.69,55,3.9,4.0,156.4,35.1,323.0,8.5
755,16.02,53,18.8,18.9,154.4,35.3,322.0,8.5
755,16.17,52,3.9,3.9,150.7,36.2,329.0,8.4
755,16.41,54,39.7,39.9,173.5,32.6,333.0,9.0
756,17.76,49,3.5,3.5,144.6,36.8,331.0,8.6
756,17.78,49,18.2,18.3,152.3,36.0,330.0,8.6
756,18.08,49,22.2,22.3,175.9,32.8,326.0,9.2
756,18.22,48,5.4,5.4,158.4,34.4,325.0,8.7
756,18.32,48,8.1,8.1,164.3,33.0,310.0,8.7
756,19.01,45,6.0,6.1,166.3,33.6,327.0,8.9
756,19.19,43,4.2,4.2,145.9,36.5,314.0,8.4
756,20.48,42,6.1,6.1,138.3,36.8,312.0,8.1
756,21.55,39,2.2,2.2,140.4,36.0,316.0,8.2
756,20.88,40,4.1,4.1,135.3,37.1,324.0,8.0
756,20.98,40,5.4,5.4,132.2,37.6,326.0,7.9
756,21.56,40,2.5,2.5,149.7,35.8,327.0,8.5
